match_id,team_id,goal_number,player1_id,player2_id,goal_type
49337,10261,1,37799,38807,header
49337,10260,2,24148,24154,shot
38136,9825,1,26181,39297,shot
43276,8650,1,30853,30889,distance
40671,8654,1,23139,36394,shot
40671,8654,2,23139,37277,shot
40671,8528,3,127857,34466,volley
34633,10252,1,26165,23354,header
34633,8456,2,40198,,
34633,10252,3,23264,24658,shot
34633,10252,4,23264,23782,header
34633,10252,5,23264,23782,shot
34633,8456,6,46403,45431,shot
45612,8655,1,30342,23916,distance
45612,8668,2,24011,,direct_freekick
45612,8668,3,24160,24011,header
45612,8655,4,30646,24136,shot
45612,8655,5,37764,23921,shot
41842,8549,1,24166,,header
41842,8549,2,24166,35608,shot
41842,8549,3,38491,33128,shot
41842,8549,4,38899,,
49682,8559,1,26454,23933,distance
49682,8559,2,23934,23783,header
49682,8559,3,34261,23931,header
49682,10194,4,38755,23371,header
47802,9879,1,34248,24843,header
47802,8667,2,39073,34430,distance
47802,8667,3,23563,23034,shot
39232,8455,1,30630,30699,shot
39232,8455,2,37804,30686,header
39232,8455,3,30631,,
39232,8455,4,30686,30367,distance
42002,10260,1,30893,40945,shot
42002,10260,2,30893,27430,shot
47933,8586,1,23760,30818,distance
47933,9825,2,30616,30843,header
47933,9825,3,38835,30843,header
47933,9825,4,30960,26181,shot
47933,8586,5,23949,,shot
47933,9825,6,30843,30960,shot
47933,8586,7,30818,,shot
47933,8586,8,30895,,shot
40378,8549,1,35608,,
40378,8549,2,24393,42183,shot
52396,8668,1,39618,36012,header
38778,8455,1,30631,,shot
38778,8455,2,37804,,shot
38778,8455,3,30679,30911,shot
43548,10194,1,38755,25668,header
59109,8650,1,30618,,
50236,8655,1,24136,34947,shot
50236,10252,2,30357,23282,shot
50236,10252,3,23782,38807,shot
50236,10252,4,23264,23354,shot
50236,8655,5,30842,,direct_freekick
30747,10261,1,24205,,
30747,10261,2,37799,25518,header
30747,8659,3,27267,40055,shot
59219,9879,1,31907,24781,shot
59219,9879,2,31907,24843,shot
36714,10260,1,30893,27430,shot
36714,8667,2,26143,23022,header
36714,10260,3,34944,27430,shot
36714,10260,4,30829,,shot
36714,10260,5,30893,40945,header
36714,10260,6,30865,30829,shot
36714,8667,7,32577,,shot
36714,8667,8,39073,,
43447,8650,1,37139,24635,shot
43447,8650,2,30617,,
43447,8586,3,40755,23949,shot
59510,8668,1,30735,24006,header
43170,8654,1,24747,30734,shot
43170,8549,2,38491,,direct_freekick
51721,10261,1,37799,24205,distance
51721,10261,2,37799,33852,shot
50594,8559,1,23937,23932,shot
50594,8456,2,24211,,
53690,8655,1,34947,,
53690,8659,2,32570,27267,shot
53690,8659,3,27267,24664,distance
53690,8655,4,38711,,distance
56091,8528,1,127857,,
56091,8462,2,38820,30830,shot
56091,8528,3,34466,25150,shot
56972,10194,1,38755,25668,header
56972,10194,2,23333,25668,header
56972,9825,3,31291,30613,deflected
54453,8455,1,26564,30630,loose_ball
54453,8455,2,37804,26564,shot
54453,8455,3,37804,30679,shot
54453,8455,4,30631,30630,header
54453,8455,5,37804,30679,shot
38736,10260,1,27430,,shot
38736,9825,2,26181,,deflected
38736,9825,3,26181,30613,distance
38736,10260,4,38994,,shot
59727,8650,1,24635,30618,shot
59727,8650,2,24635,34222,shot
59727,8650,3,37442,37139,shot
58260,8472,1,33418,17866,shot
58260,8462,2,40987,38820,distance
58260,8462,3,30348,,
52143,8654,1,109898,24223,shot
52143,8668,2,33086,30735,header
52143,8668,3,30735,25666,deflected
52143,8668,4,30735,30876,distance
41590,8549,1,42183,,shot
41590,10252,2,23283,38807,header
41590,8549,3,42183,,shot
34102,8456,1,33974,30340,loose_ball
