season,stage,date,match_id,home_team_id,away_team_id,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,on_target_shot_home_team,on_target_shot_away_team,off_target_shot_home_team,off_target_shot_away_team,foul_home_team,foul_away_team,yellow_card_home_team,yellow_card_away_team,red_card_home_team,red_card_away_team,crosses_home_team,crosses_away_team,corner_home_team,corner_away_team,possession_home_team,possession_away_team,home_team_goal,away_team_goal
2008/2009,1,2008-08-17 00:00:00,49337,10260,10261,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,5,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,9,11,30726,30362.0,30620,30865,32569.0,24148,34944.0,30373.0,24154.0,24157.0,30829.0,24224,25518.0,24228.0,30929,29581.0,38807.0,40565.0,30360.0,33852.0,34574.0,37799.0,11,1,10,9,16,11,3,0,0,0,24,9,6,6,55.0,45.0,1,1
2008/2009,1,2008-08-16 00:00:00,38136,9825,8659,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,5,7,9,1,3,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,7,11,23686,26111.0,38835,30986,31291.0,31013,30935.0,39297.0,26181.0,30960.0,36410.0,36373,36832.0,23115.0,37280,24728.0,24664.0,31088.0,23257.0,24171.0,25922.0,27267.0,12,2,13,3,11,9,0,0,0,0,21,7,7,5,66.0,34.0,1,0
2008/2009,1,2008-08-16 00:00:00,43276,8472,8650,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,32562,38836.0,24446,24408,36786.0,38802,24655.0,17866.0,30352.0,23927.0,24410.0,30660,37442.0,30617.0,24134,414792.0,37139.0,30618.0,40701.0,24800.0,24635.0,30853.0,4,11,3,5,13,12,0,2,0,0,15,19,1,8,46.0,54.0,0,1
2008/2009,1,2008-08-16 00:00:00,40671,8654,8528,1,2,4,6,8,2,4,6,8,4,6,1,2,6,8,4,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,36374,30966.0,23818,37277,30687.0,36394,37169.0,24223.0,24773.0,34543.0,23139.0,34421,34987.0,35472.0,111865,25005.0,35327.0,25150.0,97988.0,41877.0,127857.0,34466.0,5,7,7,15,14,13,2,1,0,0,15,27,6,10,52.0,48.0,2,1
2008/2009,1,2008-08-17 00:00:00,34633,10252,8456,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,1,3,5,7,9,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,7,11,30380,30357.0,24658,43280,23282.0,38609,24780.0,23782.0,23354.0,23264.0,26165.0,31432,46403.0,24208.0,23939,33963.0,47413.0,40198.0,42119.0,,33633.0,107216.0,5,9,4,5,11,13,0,1,0,0,16,16,7,8,52.0,48.0,4,2
2008/2009,1,2008-08-16 00:00:00,45612,8668,8655,1,2,4,6,8,1,3,5,7,9,5,1,2,4,6,8,4,6,8,2,6,4,1,3,3,3,3,7,7,7,7,7,11,1,3,3,3,3,7,7,7,7,10,10,31465,30371.0,24004,33086,30857.0,24011,109058.0,23268.0,24846.0,24006.0,24160.0,30622,37764.0,19020.0,23921,24136.0,30342.0,23889.0,23916.0,23922.0,34176.0,30646.0,2,8,7,8,11,11,2,2,0,0,14,21,3,4,51.0,49.0,2,3
2008/2009,1,2008-08-16 00:00:00,41842,8549,8586,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,35442,24166.0,24167,38899,24161.0,24753,97932.0,24393.0,30892.0,35608.0,42183.0,30455,34182.0,38697.0,24531,40006.0,30895.0,30818.0,31097.0,23760.0,41157.0,23949.0,7,2,5,5,11,11,1,2,0,0,25,27,7,9,53.0,47.0,2,1
2008/2009,1,2008-08-16 00:00:00,49682,8559,10194,1,2,4,6,8,1,3,5,7,9,5,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,7,11,1,3,3,3,3,7,7,7,7,10,10,23932,26454.0,23783,24336,23785.0,23931,23933.0,35532.0,24372.0,23934.0,34261.0,23794,23369.0,34214.0,40695,40574.0,25668.0,23333.0,23253.0,23072.0,23288.0,23314.0,5,1,7,6,14,15,1,2,0,0,22,29,4,3,47.0,53.0,3,1
2008/2009,1,2008-08-16 00:00:00,47802,8667,9879,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,23021,34430.0,34275,24509,23022.0,23438,23023.0,30595.0,23025.0,39073.0,23352.0,30633,37266.0,26777.0,23780,24781.0,24020.0,30338.0,24843.0,24737.0,34248.0,24741.0,5,4,5,6,10,9,3,0,0,0,16,14,5,6,53.0,47.0,2,1
2008/2009,1,2008-08-17 00:00:00,39232,8455,8462,1,2,4,6,8,3,5,7,4,6,5,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,6,6,6,8,8,11,1,3,3,3,3,7,7,7,7,10,10,30859,25925.0,30911,30627,38834.0,30631,32345.0,30699.0,30686.0,30630.0,37804.0,36286,34036.0,34418.0,24216,23953.0,25517.0,23988.0,26108.0,38820.0,30348.0,30830.0,6,7,10,5,11,8,0,1,0,0,25,9,8,3,65.0,35.0,4,0
2008/2009,10,2008-10-29 00:00:00,42002,10260,8654,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,10,10,10,35906,38994.0,30620,30865,32569.0,30893,24148.0,40961.0,40945.0,38817.0,27430.0,36374,36394.0,24751.0,23818,26348.0,30966.0,24747.0,33049.0,27665.0,33781.0,24773.0,11,3,8,3,11,15,1,2,0,0,14,6,3,1,60.0,40.0,2,0
2008/2009,10,2008-10-29 00:00:00,47933,9825,8586,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,5,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,9,11,23686,26111.0,38835,30616,31291.0,31013,30613.0,39297.0,26181.0,30843.0,30960.0,30455,32870.0,46403.0,38697,40006.0,23760.0,31097.0,30818.0,24656.0,31921.0,40755.0,9,3,11,5,9,16,1,4,0,0,22,14,9,1,62.0,38.0,4,4
2008/2009,10,2008-10-29 00:00:00,40378,8549,8456,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,5,2,4,6,8,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,5,7,7,7,7,11,22978,24166.0,24163,24167,24161.0,24753,24393.0,33128.0,30892.0,42183.0,35608.0,31432,23939.0,24208.0,24211,24209.0,39027.0,30367.0,24213.0,40198.0,33974.0,51553.0,5,11,2,5,14,14,1,3,0,0,14,6,3,3,45.0,55.0,2,0
2008/2009,10,2008-10-29 00:00:00,52396,8559,8668,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,23932,26454.0,23783,24336,23785.0,37996,23933.0,35532.0,24372.0,23934.0,34261.0,31465,30371.0,24004.0,23268,33086.0,24011.0,39618.0,24006.0,36012.0,24160.0,30735.0,13,6,6,4,17,13,1,2,0,0,19,25,5,3,53.0,47.0,0,1
2008/2009,10,2008-10-29 00:00:00,38778,8667,8455,1,2,4,6,8,3,5,7,5,4,6,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,5,5,5,8,10,10,1,3,3,3,3,7,7,7,10,10,10,23021,40132.0,26066,34275,23022.0,34437,23023.0,30595.0,39073.0,23352.0,26143.0,30859,25925.0,30911.0,30627,38834.0,32345.0,30631.0,30686.0,30630.0,30679.0,37804.0,4,3,7,18,12,13,0,2,0,0,10,18,5,4,,,0,3
2008/2009,10,2008-10-29 00:00:00,43548,10194,8472,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,23794,40574.0,40005,40695,35467.0,22994,23333.0,24133.0,25668.0,23314.0,38755.0,24527,36786.0,24740.0,24408,43259.0,38802.0,24411.0,,30352.0,23927.0,33418.0,4,4,6,6,12,8,2,1,0,0,22,11,5,3,52.0,48.0,1,0
2008/2009,10,2008-10-29 00:00:00,59109,8650,8462,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,5,2,4,6,8,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,8,8,8,8,11,30660,37442.0,24134,30617,34222.0,34601,30889.0,95327.0,30915.0,30618.0,37139.0,36286,24630.0,26108.0,24216,40987.0,25543.0,24653.0,25517.0,23988.0,63520.0,30830.0,9,1,11,3,12,13,0,3,0,0,21,6,7,1,54.0,46.0,1,0
2008/2009,10,2008-10-29 00:00:00,50236,10252,8655,1,2,4,6,8,1,3,5,7,9,5,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,7,11,1,3,3,3,3,7,7,7,7,10,10,30380,30357.0,43280,33863,23282.0,38807,38609.0,23782.0,24780.0,23354.0,23264.0,30622,49571.0,19020.0,23921,37764.0,30842.0,38711.0,24136.0,23916.0,,34947.0,2,7,5,6,9,17,0,1,0,0,13,11,4,5,57.0,43.0,3,2
