match_id,team_id,shot_number,player1_id,shot_type
49337,10260,1,24154,blocked_shot
49337,10260,2,24157,header
49337,10260,3,30829,shot
49337,10260,4,30373,shot
49337,10260,5,30373,distance
49337,10260,6,24154,blocked_shot
49337,10261,7,37799,distance
49337,10260,8,24157,distance
49337,10260,9,24157,blocked_shot
49337,10260,10,30829,blocked_shot
49337,10260,11,24157,header
49337,10260,12,30829,blocked_shot
38136,9825,1,31013,blocked_shot
38136,9825,2,30960,distance
38136,9825,3,26111,blocked_shot
38136,9825,4,36410,shot
38136,9825,5,26111,header
38136,9825,6,26181,distance
38136,9825,7,30960,blocked_shot
38136,8659,8,27267,shot
38136,9825,9,36410,blocked_shot
38136,9825,10,31013,blocked_shot
38136,8659,11,31088,blocked_shot
38136,9825,12,30935,blocked_shot
38136,9825,13,30843,header
38136,9825,14,26181,blocked_shot
43276,8472,1,23927,blocked_shot
43276,8472,2,24410,header
43276,8650,3,30618,blocked_shot
43276,8650,4,30618,blocked_shot
43276,8650,5,37139,blocked_shot
43276,8650,6,37139,blocked_shot
43276,8472,7,23927,shot
43276,8650,8,24800,distance
43276,8650,9,30618,blocked_shot
43276,8472,10,24410,shot
43276,8650,11,30618,blocked_shot
43276,8650,12,37139,distance
43276,8650,13,30853,blocked_shot
43276,8650,14,37139,blocked_shot
43276,8650,15,30853,blocked_shot
40671,8654,1,34543,header
40671,8654,2,34543,shot
40671,8528,3,97988,blocked_shot
40671,8654,4,37277,header
40671,8528,5,97988,blocked_shot
40671,8654,6,36394,distance
40671,8528,7,25150,blocked_shot
40671,8528,8,35327,blocked_shot
40671,8528,9,97988,distance
40671,8528,10,35327,shot
40671,8654,11,118390,blocked_shot
40671,8528,12,24663,blocked_shot
34633,10252,1,23354,blocked_shot
34633,10252,2,26165,header
34633,10252,3,26165,shot
34633,10252,4,23782,shot
34633,8456,5,33633,shot
34633,8456,6,47413,shot
34633,8456,7,40198,blocked_shot
34633,8456,8,33963,distance
34633,10252,9,23782,blocked_shot
34633,8456,10,24213,distance
34633,8456,11,51553,distance
34633,8456,12,33633,direct_freekick
34633,8456,13,51553,blocked_shot
34633,8456,14,47413,shot
45612,8668,1,109058,distance
45612,8655,2,23916,distance
45612,8655,3,30342,distance
45612,8655,4,30342,shot
45612,8655,5,23916,blocked_shot
45612,8655,6,23922,blocked_shot
45612,8655,7,34176,blocked_shot
45612,8668,8,24006,blocked_shot
45612,8655,9,34176,shot
45612,8655,10,23916,blocked_shot
41842,8549,1,30892,distance
41842,8549,2,35608,deflected
41842,8549,3,35608,shot
41842,8586,4,23760,distance
41842,8549,5,35608,blocked_shot
41842,8549,6,42183,blocked_shot
41842,8586,7,30818,shot
41842,8549,8,24393,header
41842,8549,9,24753,shot
49682,8559,1,23934,blocked_shot
49682,8559,2,24372,blocked_shot
49682,8559,3,23785,distance
49682,10194,4,38755,header
49682,8559,5,23933,shot
49682,8559,6,24372,shot
47802,9879,1,24737,shot
47802,8667,2,39073,header
47802,8667,3,23023,shot
47802,9879,4,24020,blocked_shot
47802,9879,5,34248,header
47802,9879,6,24737,distance
47802,8667,7,23352,blocked_shot
47802,8667,8,23438,distance
47802,8667,9,23563,blocked_shot
39232,8462,1,30830,header
39232,8462,2,30348,shot
39232,8455,3,30631,distance
39232,8455,4,37804,shot
39232,8455,5,30631,distance
39232,8455,6,30631,distance
39232,8462,7,38820,distance
39232,8462,8,30830,shot
39232,8462,9,34036,blocked_shot
39232,8455,10,30630,distance
39232,8462,11,30830,header
39232,8455,12,30631,distance
39232,8462,13,26108,shot
42002,10260,1,40945,shot
42002,8654,2,33781,blocked_shot
42002,8654,3,24773,distance
42002,10260,4,40961,distance
42002,10260,5,38817,blocked_shot
42002,10260,6,38817,header
42002,10260,7,38817,blocked_shot
42002,10260,8,24148,blocked_shot
42002,10260,9,30893,distance
42002,10260,10,30829,shot
42002,8654,11,30734,shot
42002,10260,12,30829,distance
42002,10260,13,30893,shot
42002,10260,14,30829,blocked_shot
47933,9825,1,31013,blocked_shot
47933,9825,2,31013,shot
47933,9825,3,31013,blocked_shot
47933,9825,4,39297,distance
47933,8586,5,23760,shot
47933,8586,6,24656,shot
47933,9825,7,31013,shot
47933,9825,8,30843,shot
47933,9825,9,26111,blocked_shot
47933,9825,10,30613,blocked_shot
47933,8586,11,30818,header
47933,9825,12,30960,header
40378,8456,1,33974,shot
40378,8549,2,35608,header
40378,8549,3,35608,blocked_shot
40378,8456,4,24208,distance
40378,8549,5,24161,blocked_shot
40378,8549,6,42183,shot
